FileName,SW_I_Step,ECUName,HardwareVersion,BootloaderVersion,SWVersion,Coding
Prod_Diagnostic_06.txt,26-07-540,OBC,477.943.575,7.91.226,26.0.347,481.600.708
Prod_Diagnostic_06.txt,26-07-540,HVAC,556.281.991,8.85.664,25.5.267,957.364.866
Prod_Diagnostic_06.txt,26-07-540,ADAS,950.805.192,5.13.495,24.2.974,685.898.319
Prod_Diagnostic_06.txt,26-07-540,TCU,977.326.762,4.96.311,25.6.625,120.985.899
Prod_Diagnostic_06.txt,26-07-540,BMS,885.798.109,8.26.762,24.9.920,108.329.358
Prod_Diagnostic_06.txt,26-07-540,FCAM,722.924.412,5.64.485,25.7.358,323.577.409
Prod_Diagnostic_06.txt,26-07-540,ECM,793.633.944,7.84.204,24.8.778,963.959.483
Prod_Diagnostic_06.txt,26-07-540,EPS,674.762.708,5.48.800,24.7.165,444.383.755
Prod_Diagnostic_06.txt,26-07-540,TCM,432.982.383,5.93.828,26.4.292,253.629.883
Prod_Diagnostic_06.txt,26-07-540,GW,346.158.924,7.94.427,26.2.838,126.771.609
Prod_Diagnostic_07.txt,25-11-601,GW,864.500.915,5.91.247,25.5.111,666.995.668
Prod_Diagnostic_07.txt,25-11-601,TCM,244.226.142,1.83.710,25.8.660,187.412.315
Prod_Diagnostic_07.txt,25-11-601,EPS,866.859.843,6.37.522,26.8.245,264.288.326
Prod_Diagnostic_07.txt,25-11-601,SRS,731.954.358,4.24.285,26.9.972,155.971.869
Prod_Diagnostic_07.txt,25-11-601,HVAC,662.572.760,2.47.787,24.4.200,302.843.694
Prod_Diagnostic_07.txt,25-11-601,OBC,598.438.465,3.95.771,24.1.391,734.171.298
Prod_Diagnostic_07.txt,25-11-601,ECM,425.597.561,6.88.775,25.9.256,679.680.473
Prod_Diagnostic_07.txt,25-11-601,BCM,927.423.538,3.10.420,24.3.829,857.756.546
Prod_Diagnostic_07.txt,25-11-601,ADAS,383.960.468,3.96.850,25.7.573,556.467.893
Prod_Diagnostic_07.txt,25-11-601,RADAR,412.598.664,2.32.761,26.1.961,387.979.946
Prod_Diagnostic_07.txt,25-11-601,BMS,243.651.301,5.90.178,26.1.119,969.619.746
Prod_Diagnostic_07.txt,25-11-601,FCAM,131.932.695,7.85.317,24.8.366,656.652.583
Prod_Diagnostic_08.txt,25-11-601,EPS,530.419.904,8.57.574,26.0.438,182.963.868
Prod_Diagnostic_08.txt,25-11-601,ABS,249.157.372,7.19.656,25.2.296,961.356.936
Prod_Diagnostic_08.txt,25-11-601,RADAR,490.948.112,2.41.494,25.3.855,134.303.571
Prod_Diagnostic_08.txt,25-11-601,SRS,852.889.196,4.70.498,26.4.430,262.744.845
Prod_Diagnostic_08.txt,25-11-601,ECM,143.862.662,2.42.592,26.4.303,469.153.984
Prod_Diagnostic_08.txt,25-11-601,BCM,782.323.215,4.91.544,25.0.271,913.382.698
Prod_Diagnostic_08.txt,25-11-601,TCM,222.505.908,4.11.143,26.7.804,710.258.480
Prod_Diagnostic_08.txt,25-11-601,FCAM,889.191.354,3.73.193,26.9.446,877.740.161
Prod_Diagnostic_08.txt,25-11-601,GW,161.464.760,3.99.649,24.2.599,338.424.671
Prod_Diagnostic_08.txt,25-11-601,TCU,907.760.874,6.66.850,24.0.805,486.466.841
Prod_Diagnostic_08.txt,25-11-601,HVAC,237.356.140,8.66.672,25.8.813,601.294.680
Prod_Diagnostic_08.txt,25-11-601,OBC,291.656.456,6.69.381,26.8.264,170.643.258
Prod_Diagnostic_09.txt,24-07-510,FCAM,216.802.441,6.60.841,26.9.129,952.279.298
Prod_Diagnostic_09.txt,24-07-510,BCM,438.953.446,8.70.916,24.2.593,259.742.571
Prod_Diagnostic_09.txt,24-07-510,RADAR,985.649.443,8.62.860,24.8.406,678.842.794
Prod_Diagnostic_09.txt,24-07-510,EPS,423.668.648,1.36.691,26.5.918,914.462.167
Prod_Diagnostic_09.txt,24-07-510,OBC,252.387.960,1.53.484,26.8.962,269.684.720
Prod_Diagnostic_09.txt,24-07-510,TCM,498.291.709,2.49.822,25.0.378,523.188.608
Prod_Diagnostic_09.txt,24-07-510,GW,998.343.480,8.48.321,26.4.279,214.483.903
Prod_Diagnostic_09.txt,24-07-510,ABS,138.896.306,2.66.618,24.7.612,257.294.448
Prod_Diagnostic_09.txt,24-07-510,SRS,595.850.994,5.51.246,24.8.792,235.310.841
Prod_Diagnostic_09.txt,24-07-510,BMS,137.570.496,2.10.418,24.9.992,189.441.578
Prod_Diagnostic_09.txt,24-07-510,HVAC,147.205.633,5.12.691,25.3.428,305.297.393
Prod_Diagnostic_09.txt,24-07-510,ECM,383.645.426,8.95.220,25.2.261,380.217.115
Prod_Diagnostic_10.txt,25-03-420,TCM,472.391.314,7.42.442,26.7.144,206.858.153
Prod_Diagnostic_10.txt,25-03-420,ADAS,650.280.261,1.72.627,24.1.340,838.555.706
Prod_Diagnostic_10.txt,25-03-420,ABS,693.433.529,4.96.433,24.1.433,333.200.342
Prod_Diagnostic_10.txt,25-03-420,FCAM,855.522.990,4.58.325,24.7.699,596.155.546
Prod_Diagnostic_10.txt,25-03-420,SRS,248.321.724,8.32.496,25.2.568,837.298.747
Prod_Diagnostic_10.txt,25-03-420,GW,467.376.307,6.26.132,26.9.161,387.239.213
Prod_Diagnostic_10.txt,25-03-420,RADAR,972.576.569,7.31.878,25.3.402,718.260.908
Prod_Diagnostic_10.txt,25-03-420,OBC,913.753.726,3.83.666,24.1.521,977.634.600
Prod_Diagnostic_10.txt,25-03-420,BMS,982.321.705,8.69.385,24.6.853,993.352.353
Prod_Diagnostic_10.txt,25-03-420,ECM,435.544.693,4.85.252,26.0.527,145.141.581
Prod_Diagnostic_10.txt,25-03-420,EPS,851.887.616,1.64.643,25.7.929,917.813.941
Prod_Diagnostic_10.txt,25-03-420,TCU,200.563.607,4.20.671,24.6.323,235.467.402
Prod_Diagnostic_11.txt,25-11-601,TCU,486.684.499,6.83.200,25.1.807,791.310.444
Prod_Diagnostic_11.txt,25-11-601,BMS,608.614.930,6.31.729,25.5.546,306.608.750
Prod_Diagnostic_11.txt,25-11-601,ECM,967.906.177,4.46.371,24.4.687,511.923.331
Prod_Diagnostic_11.txt,25-11-601,SRS,739.860.194,2.85.444,25.1.680,920.643.586
Prod_Diagnostic_11.txt,25-11-601,HVAC,537.314.455,2.93.943,25.8.923,407.543.779
Prod_Diagnostic_11.txt,25-11-601,OBC,652.420.304,7.61.357,26.8.564,787.881.660
Prod_Diagnostic_11.txt,25-11-601,GW,284.119.742,3.83.611,24.7.374,753.645.928
Prod_Diagnostic_11.txt,25-11-601,ABS,729.973.887,7.82.844,26.0.634,305.473.573
Prod_Diagnostic_11.txt,25-11-601,RADAR,251.346.254,5.65.520,25.1.749,308.966.522
Prod_Diagnostic_11.txt,25-11-601,BCM,373.943.393,3.42.803,26.3.515,344.216.253
Prod_Diagnostic_11.txt,25-11-601,ADAS,296.128.351,5.69.597,26.6.532,762.137.306
Prod_Diagnostic_11.txt,25-11-601,TCM,263.379.239,1.43.908,25.8.280,759.972.143
Prod_Diagnostic_12.txt,24-07-510,ABS,449.393.617,3.20.372,25.6.469,744.780.351
Prod_Diagnostic_12.txt,24-07-510,FCAM,255.871.871,7.39.241,25.6.519,569.972.628
Prod_Diagnostic_12.txt,24-07-510,BMS,913.798.470,1.66.249,24.8.171,186.446.422
Prod_Diagnostic_12.txt,24-07-510,RADAR,511.890.268,7.17.502,24.2.688,159.746.830
Prod_Diagnostic_12.txt,24-07-510,OBC,918.776.996,5.63.511,26.8.994,411.838.860
Prod_Diagnostic_12.txt,24-07-510,TCM,421.452.108,5.77.725,24.6.556,759.310.657
Prod_Diagnostic_12.txt,24-07-510,BCM,739.907.733,8.99.453,26.6.894,302.408.186
Prod_Diagnostic_12.txt,24-07-510,SRS,137.650.442,7.26.632,26.4.318,195.623.665
Prod_Diagnostic_12.txt,24-07-510,HVAC,419.633.448,3.12.128,26.9.364,347.952.892
Prod_Diagnostic_12.txt,24-07-510,ECM,411.843.532,2.17.961,25.4.742,619.462.226
Prod_Diagnostic_12.txt,24-07-510,TCU,148.874.766,2.67.405,26.0.564,447.341.924
Prod_Diagnostic_12.txt,24-07-510,ADAS,863.695.679,4.54.406,25.9.788,243.831.486
Prod_Diagnostic_13.txt,25-03-420,EPS,323.413.535,7.83.260,25.4.663,186.237.869
Prod_Diagnostic_13.txt,25-03-420,GW,186.402.555,6.39.697,24.7.624,736.444.536
Prod_Diagnostic_13.txt,25-03-420,HVAC,561.578.542,7.57.923,25.5.379,491.125.283
Prod_Diagnostic_13.txt,25-03-420,FCAM,552.339.371,2.55.184,25.8.625,659.759.180
Prod_Diagnostic_13.txt,25-03-420,ADAS,904.383.333,2.25.173,25.0.659,305.441.301
Prod_Diagnostic_13.txt,25-03-420,ECM,791.437.356,5.97.965,25.3.822,718.241.975
Prod_Diagnostic_13.txt,25-03-420,BCM,870.833.857,5.11.888,25.4.942,454.901.513
Prod_Diagnostic_13.txt,25-03-420,TCM,515.941.693,1.70.769,26.2.986,507.333.332
Prod_Diagnostic_13.txt,25-03-420,RADAR,840.867.314,8.39.628,26.8.875,579.839.933
Prod_Diagnostic_13.txt,25-03-420,SRS,572.448.910,2.50.966,24.6.888,814.527.314
Prod_Diagnostic_13.txt,25-03-420,BMS,549.560.973,1.57.242,26.2.412,855.109.611
Prod_Diagnostic_13.txt,25-03-420,OBC,929.774.954,6.53.330,25.6.802,870.513.881
Prod_Diagnostic_14.txt,24-07-510,FCAM,448.858.706,4.24.686,25.2.973,420.489.690
Prod_Diagnostic_14.txt,24-07-510,OBC,854.101.418,1.85.648,24.6.533,427.889.473
Prod_Diagnostic_14.txt,24-07-510,TCU,916.795.915,3.76.779,26.9.327,209.504.109
Prod_Diagnostic_14.txt,24-07-510,HVAC,651.972.571,6.28.935,25.3.611,796.566.250
Prod_Diagnostic_14.txt,24-07-510,BCM,715.390.249,1.86.427,25.8.805,226.380.968
Prod_Diagnostic_14.txt,24-07-510,GW,823.687.589,4.73.398,26.6.160,929.441.256
Prod_Diagnostic_14.txt,24-07-510,EPS,947.833.315,4.99.853,24.2.977,599.844.501
Prod_Diagnostic_14.txt,24-07-510,ECM,406.934.775,3.12.661,25.5.532,794.584.456
Prod_Diagnostic_14.txt,24-07-510,ABS,875.500.500,2.77.844,25.4.813,299.817.976
Prod_Diagnostic_14.txt,24-07-510,ADAS,661.503.199,3.51.870,26.0.970,826.411.568
Prod_Diagnostic_14.txt,24-07-510,SRS,770.267.691,3.66.812,25.4.248,314.323.923
Prod_Diagnostic_14.txt,24-07-510,RADAR,866.300.852,1.56.843,26.1.794,904.979.251
Prod_Diagnostic_15.txt,25-11-601,ABS,512.202.841,3.11.717,24.6.493,121.212.946
Prod_Diagnostic_15.txt,25-11-601,HVAC,113.881.950,1.26.354,24.4.246,742.714.113
Prod_Diagnostic_15.txt,25-11-601,FCAM,911.109.910,2.79.853,25.1.307,242.591.877
Prod_Diagnostic_15.txt,25-11-601,GW,676.554.935,3.49.439,25.2.349,157.656.808
Prod_Diagnostic_15.txt,25-11-601,BCM,373.742.656,2.12.944,24.1.657,403.205.623
Prod_Diagnostic_15.txt,25-11-601,TCM,956.525.245,1.38.124,24.6.494,250.461.771
Prod_Diagnostic_15.txt,25-11-601,OBC,393.331.800,7.97.832,24.7.273,212.329.204
Prod_Diagnostic_15.txt,25-11-601,ECM,388.465.178,6.25.469,24.0.719,254.282.538
Prod_Diagnostic_15.txt,25-11-601,RADAR,643.442.714,3.96.535,24.4.739,937.393.456
Prod_Diagnostic_15.txt,25-11-601,TCU,996.206.377,8.94.477,25.1.907,102.982.252
Prod_Diagnostic_15.txt,25-11-601,BMS,896.771.250,6.28.499,25.7.934,168.215.691
Prod_Diagnostic_15.txt,25-11-601,SRS,537.844.385,3.21.430,24.2.885,494.461.426
Prod_Diagnostic_16.txt,25-03-420,BMS,130.217.284,6.64.909,24.5.351,174.320.772
Prod_Diagnostic_16.txt,25-03-420,FCAM,480.480.248,6.25.109,25.0.834,436.318.576
Prod_Diagnostic_16.txt,25-03-420,TCM,681.914.429,4.81.167,25.4.716,317.639.322
Prod_Diagnostic_16.txt,25-03-420,SRS,205.674.384,2.83.761,25.6.425,932.427.302
Prod_Diagnostic_16.txt,25-03-420,ABS,301.150.921,8.73.147,25.6.222,227.563.275
Prod_Diagnostic_16.txt,25-03-420,ECM,715.434.705,7.40.690,24.4.118,759.902.976
Prod_Diagnostic_16.txt,25-03-420,EPS,689.104.572,5.26.961,25.0.646,640.140.445
Prod_Diagnostic_16.txt,25-03-420,ADAS,760.116.171,8.22.949,25.4.381,424.871.454
Prod_Diagnostic_16.txt,25-03-420,BCM,509.181.669,6.73.727,24.6.405,813.565.605
Prod_Diagnostic_16.txt,25-03-420,GW,969.756.224,6.89.205,24.3.148,945.110.242
Prod_Diagnostic_16.txt,25-03-420,HVAC,207.430.982,7.38.274,24.3.841,931.477.935
Prod_Diagnostic_16.txt,25-03-420,RADAR,650.105.804,1.43.903,24.1.149,411.176.370
Prod_Diagnostic_17.txt,26-07-540,ABS,410.900.970,4.12.156,24.3.647,722.980.488
Prod_Diagnostic_17.txt,26-07-540,EPS,798.800.855,1.80.593,24.6.884,486.812.228
Prod_Diagnostic_17.txt,26-07-540,RADAR,540.818.537,3.24.548,24.9.476,460.298.451
Prod_Diagnostic_17.txt,26-07-540,ECM,547.159.343,4.21.702,24.3.522,865.870.927
Prod_Diagnostic_17.txt,26-07-540,TCM,912.649.681,1.11.994,26.3.932,158.178.158
Prod_Diagnostic_17.txt,26-07-540,FCAM,229.549.284,5.15.421,25.9.770,350.399.232
Prod_Diagnostic_17.txt,26-07-540,SRS,720.507.590,2.94.178,24.4.656,310.606.822
Prod_Diagnostic_17.txt,26-07-540,ADAS,852.932.465,4.66.830,25.5.898,664.399.989
Prod_Diagnostic_17.txt,26-07-540,GW,769.350.639,5.50.814,26.8.206,155.454.520
Prod_Diagnostic_17.txt,26-07-540,OBC,822.736.597,5.20.308,24.8.336,412.859.666
Prod_Diagnostic_17.txt,26-07-540,BCM,315.225.481,3.14.340,26.7.765,882.564.216
Prod_Diagnostic_17.txt,26-07-540,BMS,121.610.956,1.44.384,26.6.407,947.186.161
Prod_Diagnostic_18.txt,25-03-420,BMS,875.113.265,2.31.302,25.1.139,534.607.274
Prod_Diagnostic_18.txt,25-03-420,SRS,741.922.637,8.27.866,26.6.508,109.403.220
Prod_Diagnostic_18.txt,25-03-420,RADAR,545.401.837,5.76.430,26.5.677,765.269.244
Prod_Diagnostic_18.txt,25-03-420,ADAS,397.635.801,4.88.831,25.8.719,357.583.573
Prod_Diagnostic_18.txt,25-03-420,TCU,315.438.864,3.31.636,26.7.110,425.526.283
Prod_Diagnostic_18.txt,25-03-420,GW,253.581.168,1.49.818,24.3.810,196.650.569
Prod_Diagnostic_18.txt,25-03-420,TCM,438.196.162,8.86.260,24.5.751,672.331.453
Prod_Diagnostic_18.txt,25-03-420,ECM,743.114.297,5.46.940,25.9.846,413.476.739
Prod_Diagnostic_18.txt,25-03-420,BCM,885.512.360,4.19.706,24.1.848,321.386.282
Prod_Diagnostic_18.txt,25-03-420,HVAC,369.677.204,3.76.701,26.6.438,689.890.973
Prod_Diagnostic_18.txt,25-03-420,OBC,706.719.383,8.36.272,24.3.321,193.922.729
Prod_Diagnostic_18.txt,25-03-420,EPS,250.246.268,8.10.431,24.0.240,623.926.550
Prod_Diagnostic_19.txt,24-07-510,RADAR,995.345.279,8.35.430,24.4.166,131.311.691
Prod_Diagnostic_19.txt,24-07-510,GW,572.570.350,8.40.915,24.7.612,756.213.922
Prod_Diagnostic_19.txt,24-07-510,FCAM,718.957.439,3.41.573,26.1.107,866.133.798
Prod_Diagnostic_19.txt,24-07-510,HVAC,793.516.987,8.59.172,25.4.833,650.223.832
Prod_Diagnostic_19.txt,24-07-510,TCU,895.721.762,1.66.592,26.0.399,931.507.948
Prod_Diagnostic_19.txt,24-07-510,ADAS,942.842.887,1.56.509,26.8.744,765.550.538
Prod_Diagnostic_19.txt,24-07-510,BCM,906.227.206,3.43.876,26.1.839,273.475.522
Prod_Diagnostic_19.txt,24-07-510,OBC,772.447.245,4.71.315,25.1.437,757.810.175
Prod_Diagnostic_19.txt,24-07-510,TCM,569.826.603,4.43.450,25.7.438,906.561.816
Prod_Diagnostic_19.txt,24-07-510,SRS,364.681.381,1.27.251,26.4.126,326.479.677
Prod_Diagnostic_19.txt,24-07-510,ABS,471.830.398,5.30.681,26.4.586,830.550.789
Prod_Diagnostic_19.txt,24-07-510,EPS,401.258.861,3.28.722,25.6.363,752.333.128
Prod_Diagnostic_20.txt,25-03-420,TCU,749.979.733,4.29.653,26.6.978,307.385.150
Prod_Diagnostic_20.txt,25-03-420,ECM,510.403.499,7.70.579,25.2.838,407.100.176
Prod_Diagnostic_20.txt,25-03-420,OBC,357.825.669,5.36.851,26.9.168,160.873.520
Prod_Diagnostic_20.txt,25-03-420,BMS,243.247.592,3.41.500,24.6.500,705.298.354
Prod_Diagnostic_20.txt,25-03-420,RADAR,954.458.172,4.45.243,25.1.843,857.699.788
Prod_Diagnostic_20.txt,25-03-420,BCM,255.310.554,3.96.382,25.0.752,220.633.418
Prod_Diagnostic_20.txt,25-03-420,ABS,636.205.890,8.39.776,25.4.941,227.654.860
Prod_Diagnostic_20.txt,25-03-420,SRS,724.565.257,2.53.996,25.0.490,958.361.215
Prod_Diagnostic_20.txt,25-03-420,TCM,741.577.536,3.98.986,25.4.330,635.205.190
Prod_Diagnostic_20.txt,25-03-420,ADAS,849.717.713,6.40.990,26.7.956,818.542.531
Prod_Diagnostic_20.txt,25-03-420,FCAM,158.753.207,5.45.357,26.8.436,529.782.956
Prod_Diagnostic_20.txt,25-03-420,HVAC,357.465.185,1.22.830,25.3.699,606.326.705
