EventDate,FaultCategory,ECUCount,DTCCount,ECUs,DTCs
2026-05-06,Sensor,8,13,"ADAS, EPS, FCAM, GW, HVAC, SRS, TCM, TCU","0X185E, 0X1DE8, 0X5674, 0X6806, 0X9D31, 0XA0C4, 0XA1CB, 0XAE18, 0XB318, 0XBAB6, 0XDEA9, 0XEA7A, 0XF4B3"
2026-05-21,Communication,8,13,"ABS, BCM, BMS, ECM, GW, OBC, RADAR, TCU","0X117F, 0X1E8F, 0X23CA, 0X24C0, 0X24CB, 0X3978, 0X3BDD, 0X71C5, 0X7B0C, 0X8830, 0XD234, 0XE1A7, 0XEEAF"
2026-05-07,ECU Specific/Other,7,13,"BCM, BMS, ECM, EPS, HVAC, TCM, TCU","0X49D2, 0X4E65, 0X59ED, 0X67A9, 0X6AC2, 0X6F89, 0X889F, 0X9B22, 0XAD9B, 0XAF88, 0XCD9A, 0XDA80, 0XE02B"
2026-05-16,ECU Specific/Other,10,12,"ABS, BCM, BMS, ECM, EPS, HVAC, RADAR, SRS, TCM, TCU","0X11C4, 0X2DDE, 0X3B64, 0X6B29, 0X78BD, 0XAB88, 0XACD3, 0XB5FC, 0XBD52, 0XC489, 0XF395, 0XFA22"
2026-05-16,Performance,10,12,"ADAS, BCM, BMS, ECM, EPS, FCAM, HVAC, OBC, RADAR, SRS","0X1AD1, 0X32D9, 0X3CAE, 0X5D37, 0X5F48, 0X6231, 0X7EA5, 0X8BB7, 0XAB5A, 0XC0C0, 0XED4F, 0XF29D"
2026-05-02,ECU Specific/Other,9,12,"ABS, ADAS, BMS, GW, HVAC, OBC, SRS, TCM, TCU","0X140E, 0X14CD, 0X25B9, 0X3AA9, 0X6110, 0X7321, 0X8370, 0X964F, 0XB1B9, 0XB518, 0XD1E0, 0XED24"
2026-05-14,ECU Specific/Other,9,12,"ABS, ADAS, BCM, FCAM, OBC, RADAR, SRS, TCM, TCU","0X1066, 0X111C, 0X3F39, 0X5CD8, 0X678E, 0X91B1, 0X95A4, 0XA31B, 0XB1B7, 0XE413, 0XE414, 0XED6A"
2026-05-04,ECU Specific/Other,8,12,"ABS, ECM, FCAM, GW, HVAC, RADAR, SRS, TCU","0X10E0, 0X16A2, 0X1AA5, 0X2B61, 0X3D19, 0X46EE, 0X6E08, 0X71CB, 0X9079, 0X9468, 0X94E6, 0XAA3A"
2026-05-13,Communication,8,12,"BMS, ECM, FCAM, GW, HVAC, RADAR, SRS, TCM","0X2566, 0X2B1E, 0X59B4, 0X61EE, 0X6731, 0X85BE, 0X89D1, 0X9444, 0X98EF, 0XA7F3, 0XC0D0, 0XFC6D"
2026-05-17,Performance,8,12,"BMS, ECM, FCAM, GW, OBC, SRS, TCM, TCU","0X16FD, 0X2BFC, 0X388F, 0X40A9, 0X5937, 0X5F75, 0X64EC, 0X8D02, 0X9AB5, 0XDC57, 0XE145, 0XF346"
2026-05-24,Voltage,8,12,"ADAS, BCM, ECM, EPS, GW, OBC, RADAR, TCM","0X27F8, 0X3486, 0X53E9, 0X5B35, 0X8880, 0XA5CC, 0XA780, 0XB3F6, 0XC3E1, 0XE5F3, 0XE9FC, 0XFA87"
2026-05-20,Communication,7,12,"ADAS, BMS, FCAM, HVAC, OBC, RADAR, TCM","0X28CA, 0X377B, 0X55A8, 0X5767, 0X5969, 0X8412, 0X9581, 0XBF1F, 0XC28D, 0XC499, 0XCE0F, 0XD30D"
2026-05-05,ECU Specific/Other,6,12,"ABS, BCM, EPS, FCAM, HVAC, TCM","0X4D36, 0X536E, 0X5906, 0X6301, 0X7947, 0XA605, 0XAE91, 0XC299, 0XCB51, 0XD28E, 0XD5C9, 0XDD14"
2026-05-15,ECU Specific/Other,10,11,"ADAS, BCM, ECM, FCAM, GW, HVAC, OBC, RADAR, SRS, TCM","0X3DF4, 0X4301, 0X4452, 0X4976, 0X59C8, 0XA15A, 0XB585, 0XB76C, 0XCC5C, 0XD72C, 0XD7ED"
2026-05-25,Sensor,10,11,"ABS, ADAS, BCM, ECM, EPS, FCAM, GW, HVAC, RADAR, SRS","0X1991, 0X1B3F, 0X44D8, 0X6656, 0X81A9, 0XB91D, 0XC1B6, 0XE5DA, 0XE994, 0XFC35, 0XFF0A"
2026-05-26,ECU Specific/Other,9,11,"ABS, BCM, ECM, FCAM, GW, HVAC, SRS, TCM, TCU","0X120A, 0X3A7D, 0X4D05, 0X66CB, 0X7C80, 0X86B9, 0XA113, 0XB630, 0XC4EF, 0XED83, 0XF55E"
2026-05-28,Communication,9,11,"ABS, BCM, BMS, GW, HVAC, OBC, RADAR, SRS, TCU","0X1FDA, 0X35D0, 0X49A8, 0X4CB2, 0X6CE1, 0X6E99, 0XB07E, 0XB1DC, 0XC8FC, 0XCD55, 0XFCC8"
2026-05-04,Voltage,8,11,"ABS, ADAS, BCM, ECM, OBC, RADAR, SRS, TCM","0X218A, 0X2374, 0X49EC, 0X5006, 0X8E33, 0X923D, 0XAD2C, 0XAFEA, 0XB9A0, 0XE61A, 0XF65E"
2026-05-08,ECU Specific/Other,8,11,"ABS, ADAS, BCM, ECM, GW, HVAC, OBC, SRS","0X15EE, 0X243A, 0X2902, 0X2DCB, 0X4138, 0X6BF7, 0X6E1B, 0X8C71, 0XD0BA, 0XEDFC, 0XF90D"
2026-05-19,ECU Specific/Other,8,11,"ADAS, ECM, GW, HVAC, OBC, RADAR, SRS, TCU","0X1AC7, 0X1B96, 0X2AE1, 0X5566, 0X6EFA, 0XA718, 0XAE53, 0XDDB5, 0XE306, 0XE51F, 0XFA75"
2026-05-25,ECU Specific/Other,8,11,"ABS, BMS, ECM, EPS, FCAM, OBC, SRS, TCM","0X2BEF, 0X4940, 0X4AD1, 0X7883, 0X7906, 0XAC12, 0XB915, 0XBA33, 0XC73C, 0XD703, 0XD8A1"
2026-05-14,Sensor,7,11,"ABS, EPS, FCAM, GW, RADAR, SRS, TCM","0X4CA5, 0X58E0, 0X5EB1, 0X6771, 0X8992, 0X9EDE, 0XADAC, 0XB3FB, 0XC164, 0XF709, 0XFB01"
2026-05-21,Sensor,7,11,"ABS, ADAS, BCM, EPS, FCAM, GW, OBC","0X36A5, 0X43FD, 0X44D0, 0X5679, 0X65C0, 0X9162, 0XE5F0, 0XF43F, 0XF920, 0XF987, 0XFBFD"
2026-05-24,ECU Specific/Other,7,11,"BMS, ECM, EPS, FCAM, HVAC, RADAR, TCU","0X1328, 0X2526, 0X2A3C, 0X5A0E, 0X7C26, 0X8000, 0XA1C4, 0XBFD5, 0XD0F6, 0XD85C, 0XDA79"
2026-05-04,Sensor,6,11,"ADAS, BCM, FCAM, HVAC, RADAR, TCU","0X266F, 0X2B96, 0X4730, 0X515F, 0X56AA, 0X840A, 0XA5E7, 0XB58A, 0XC561, 0XC8BA, 0XE3AA"
2026-05-03,Voltage,9,10,"ABS, ADAS, BCM, BMS, ECM, EPS, OBC, RADAR, SRS","0X242E, 0X59D9, 0X6501, 0X6799, 0X75E1, 0X83B0, 0XB8D3, 0XCD9F, 0XE17B, 0XFE40"
2026-05-15,Communication,9,10,"ABS, BCM, ECM, GW, HVAC, OBC, RADAR, SRS, TCM","0X1359, 0X2CC6, 0X480B, 0X77B0, 0X77CF, 0X8107, 0X86FA, 0XD447, 0XD461, 0XD746"
2026-05-22,ECU Specific/Other,9,10,"BMS, ECM, EPS, FCAM, GW, HVAC, OBC, TCM, TCU","0X536D, 0X6983, 0X6DD0, 0X86C5, 0XA9D0, 0XB82C, 0XE85C, 0XEA94, 0XEF9E, 0XF980"
2026-05-02,Voltage,8,10,"ABS, ADAS, EPS, FCAM, GW, HVAC, RADAR, TCM","0X1CFE, 0X233B, 0X61F7, 0X70A1, 0X759D, 0X9494, 0XB041, 0XB8F0, 0XBF37, 0XEA3D"
2026-05-12,ECU Specific/Other,8,10,"ABS, ADAS, BMS, ECM, FCAM, OBC, TCM, TCU","0X1553, 0X33CD, 0X511A, 0X7D57, 0X8830, 0X933D, 0X9A27, 0X9FB3, 0XB61F, 0XED81"
2026-05-28,ECU Specific/Other,8,10,"ADAS, BCM, BMS, EPS, FCAM, GW, SRS, TCU","0X2E56, 0X32C2, 0X56E3, 0X8487, 0X8A1B, 0XB331, 0XB6EF, 0XCE3E, 0XD2FD, 0XDE0E"
2026-05-01,Communication,7,10,"ABS, ADAS, GW, RADAR, SRS, TCM, TCU","0X2FF0, 0X5F2D, 0X96AB, 0X9787, 0XA5EC, 0XAEE0, 0XB475, 0XE4E8, 0XEFCA, 0XFEE3"
2026-05-14,Voltage,7,10,"ABS, BMS, ECM, FCAM, OBC, RADAR, TCM","0X1652, 0X183A, 0X590A, 0X5EB3, 0X6B7D, 0X6CBA, 0XA563, 0XA740, 0XDE47, 0XECD2"
2026-05-15,Performance,7,10,"ABS, ADAS, BCM, ECM, FCAM, OBC, TCM","0X2BE5, 0X371A, 0X3747, 0X3B0E, 0X4A40, 0X5D81, 0X6D15, 0X7D3E, 0X9814, 0XBA75"
2026-05-20,ECU Specific/Other,7,10,"ABS, ECM, GW, HVAC, OBC, TCM, TCU","0X41A5, 0X5E4C, 0X6D82, 0X8208, 0XB83F, 0XB888, 0XBA66, 0XC5AE, 0XC85F, 0XD840"
2026-05-27,Performance,7,10,"ADAS, BMS, EPS, GW, OBC, TCM, TCU","0X1820, 0X2CFB, 0X3E03, 0X3E07, 0X569F, 0X74C4, 0X79FB, 0XA372, 0XD346, 0XE232"
2026-05-01,ECU Specific/Other,6,10,"BMS, EPS, FCAM, HVAC, RADAR, SRS","0X2014, 0X573B, 0X5BB1, 0X5EDA, 0X61A4, 0X769E, 0X7AA1, 0XB904, 0XC1BA, 0XD4BD"
2026-05-05,Performance,6,10,"ADAS, ECM, HVAC, OBC, RADAR, TCU","0X222D, 0X3C67, 0X62E2, 0X9D3A, 0XA66B, 0XAEA1, 0XB4F9, 0XBA52, 0XCD46, 0XEED7"
2026-05-07,Performance,6,10,"ADAS, EPS, GW, RADAR, SRS, TCU","0X2C38, 0X2ECF, 0X4612, 0X67D5, 0X83FE, 0XA382, 0XA60B, 0XAACE, 0XCCBB, 0XF9EB"
2026-05-09,Sensor,6,10,"BCM, BMS, ECM, OBC, RADAR, SRS","0X411D, 0X6A76, 0X7946, 0X83DE, 0X9B62, 0XB72E, 0XB73A, 0XD5CB, 0XE88F, 0XEC41"
2026-05-16,Communication,6,10,"ADAS, BCM, EPS, OBC, SRS, TCU","0X1869, 0X27EF, 0X2BFF, 0X769D, 0X9513, 0XA810, 0XC048, 0XD229, 0XECD1, 0XFC02"
2026-05-06,Performance,5,10,"BCM, EPS, GW, SRS, TCU","0X2F89, 0X424B, 0X7085, 0X7AB6, 0X87D0, 0XBD72, 0XBF1F, 0XBF32, 0XDFC1, 0XE1ED"
2026-05-08,Sensor,5,10,"BCM, FCAM, SRS, TCM, TCU","0X1EFF, 0X2D62, 0X8217, 0X9862, 0XA7E8, 0XB29A, 0XBBF2, 0XCF50, 0XE627, 0XED41"
2026-05-20,Voltage,9,9,"ADAS, BCM, ECM, EPS, FCAM, GW, SRS, TCM, TCU","0X5D07, 0X7122, 0X8575, 0X8885, 0X9629, 0X9D5A, 0XC08C, 0XC6E5, 0XDD29"
2026-05-23,Voltage,9,9,"ABS, BCM, ECM, FCAM, GW, OBC, RADAR, SRS, TCU","0X595F, 0X6808, 0X92BB, 0XA987, 0XB319, 0XDB8C, 0XF041, 0XF826, 0XF9AF"
2026-05-08,Performance,8,9,"ABS, ADAS, BMS, ECM, FCAM, GW, TCM, TCU","0X11B0, 0X184A, 0X3E62, 0X88AD, 0XA620, 0XB93F, 0XBD97, 0XD66D, 0XFF16"
2026-05-19,Communication,8,9,"BCM, BMS, FCAM, GW, HVAC, RADAR, SRS, TCU","0X286B, 0X390A, 0X4B75, 0X4F76, 0X7FAC, 0XA1A0, 0XA8CF, 0XAA02, 0XC469"
2026-05-09,Communication,7,9,"BCM, EPS, FCAM, GW, OBC, RADAR, TCU","0X4AE1, 0X53E4, 0X7090, 0X89EA, 0X9C12, 0XA3F3, 0XA691, 0XBE98, 0XD7FE"
2026-05-11,Communication,7,9,"ABS, ADAS, ECM, FCAM, HVAC, OBC, SRS","0X2647, 0X28CD, 0X6A8D, 0X8F66, 0X94A2, 0X98A5, 0X9EAD, 0X9F8D, 0XC4AD"
2026-05-15,Sensor,7,9,"ABS, ADAS, ECM, EPS, OBC, RADAR, TCM","0X59D5, 0X6B42, 0X7BBE, 0X83B4, 0XA165, 0XAD09, 0XD36B, 0XE0C5, 0XF352"
2026-05-18,Communication,7,9,"ADAS, BMS, GW, OBC, RADAR, TCM, TCU","0X2A46, 0X2D82, 0X3FE6, 0X7E8F, 0XD1CF, 0XD948, 0XDAF0, 0XEB87, 0XF86E"
2026-05-23,ECU Specific/Other,7,9,"ADAS, ECM, FCAM, GW, HVAC, TCM, TCU","0X138E, 0X24AA, 0X2716, 0X3653, 0X44A9, 0X46C7, 0X6AB7, 0XADC6, 0XFB34"
2026-05-26,Sensor,7,9,"ADAS, BCM, BMS, ECM, HVAC, RADAR, TCM","0X1B14, 0X4106, 0X45DB, 0X6DF9, 0X720A, 0X8D94, 0XDF3A, 0XEB21, 0XF9A7"
2026-05-28,Sensor,7,9,"ABS, BMS, ECM, EPS, GW, RADAR, SRS","0X1EA2, 0X6819, 0X78C0, 0X9097, 0X91E6, 0XCD9E, 0XEAC5, 0XEF82, 0XFC1A"
2026-05-11,ECU Specific/Other,6,9,"ABS, BCM, EPS, GW, HVAC, OBC","0X1EB5, 0X2060, 0X275B, 0X3931, 0X89C1, 0XD4E7, 0XD92A, 0XF047, 0XFE29"
2026-05-18,ECU Specific/Other,6,9,"ABS, BCM, EPS, GW, OBC, TCU","0X1EFF, 0X2550, 0X2679, 0X382F, 0X3A95, 0X6ACD, 0X83BD, 0XB2B0, 0XD859"
2026-05-24,Communication,6,9,"ADAS, BCM, FCAM, GW, OBC, RADAR","0X20A0, 0X3451, 0X6529, 0X7552, 0X7899, 0XB162, 0XB9B2, 0XCE1E, 0XD3C4"
2026-05-25,Performance,6,9,"BMS, FCAM, HVAC, RADAR, SRS, TCM","0X1DC7, 0X3C28, 0X4508, 0X495E, 0XA338, 0XB391, 0XB7FB, 0XC918, 0XF1FF"
2026-05-26,Performance,6,9,"ABS, BMS, ECM, EPS, FCAM, TCM","0X2CAB, 0X423F, 0X4FC8, 0X5CB5, 0X5F8C, 0XA2AE, 0XAAB2, 0XC556, 0XCEC3"
2026-05-27,ECU Specific/Other,6,9,"ADAS, BCM, BMS, ECM, HVAC, RADAR","0X401B, 0X5347, 0X5BC8, 0X8899, 0X9116, 0XA36C, 0XAF2E, 0XB51E, 0XB60C"
2026-05-12,Sensor,5,9,"ABS, ADAS, BMS, GW, TCU","0X16A5, 0X1769, 0X2754, 0X2B46, 0X6AEA, 0X7AA2, 0X95E3, 0X9EF1, 0XFBB1"
2026-05-03,ECU Specific/Other,4,9,"BMS, ECM, RADAR, SRS","0X22D0, 0X6AE0, 0X6CA4, 0X768F, 0X80D3, 0X9AC8, 0XB254, 0XCA85, 0XD538"
2026-05-03,Performance,8,8,"ABS, ADAS, BMS, ECM, FCAM, HVAC, OBC, SRS","0X2910, 0X4691, 0X6E70, 0X8373, 0X8C0E, 0X9372, 0X9E03, 0XBB45"
2026-05-18,Performance,8,8,"ADAS, BCM, BMS, ECM, EPS, HVAC, OBC, TCM","0X13EF, 0X534B, 0X67C8, 0XC1BE, 0XD8A6, 0XDC9F, 0XF1E0, 0XF530"
2026-05-14,Communication,7,8,"ABS, ADAS, ECM, EPS, OBC, RADAR, SRS","0X15A4, 0X7223, 0XD473, 0XD64D, 0XDBD5, 0XDC03, 0XE49B, 0XF240"
2026-05-15,Voltage,7,8,"ABS, ADAS, BCM, ECM, EPS, FCAM, HVAC","0X1F5E, 0X2DEE, 0X6424, 0X7727, 0X819D, 0XCF2C, 0XDA08, 0XDDE9"
2026-05-20,Sensor,7,8,"BCM, EPS, FCAM, HVAC, RADAR, TCM, TCU","0X1410, 0X1420, 0X25D6, 0X6A1B, 0X83A4, 0XA2F7, 0XD434, 0XDA6F"
2026-05-28,Performance,7,8,"ABS, BCM, ECM, EPS, GW, OBC, TCU","0X5B46, 0X771A, 0XB8AD, 0XC334, 0XD7D4, 0XE473, 0XF6B9, 0XFF13"
2026-05-05,Voltage,6,8,"BCM, BMS, FCAM, GW, OBC, RADAR","0X23DC, 0X62E0, 0X6302, 0X6DA6, 0X9BAB, 0XA377, 0XAA06, 0XC6AD"
2026-05-07,Voltage,6,8,"ABS, ADAS, FCAM, HVAC, OBC, RADAR","0X2B65, 0X2F17, 0X5708, 0X583E, 0XABE7, 0XC1BA, 0XD519, 0XDB2F"
2026-05-09,Performance,6,8,"ABS, ADAS, GW, OBC, SRS, TCM","0X1A08, 0X44CB, 0X4BD1, 0X86A8, 0X8C7D, 0X98B3, 0XED34, 0XFE6B"
2026-05-11,Performance,6,8,"ABS, ECM, EPS, FCAM, RADAR, TCM","0X4F09, 0X580A, 0X783A, 0X8A0C, 0XD53F, 0XDB62, 0XE77A, 0XEB59"
2026-05-11,Sensor,6,8,"BCM, BMS, ECM, EPS, FCAM, SRS","0X3999, 0X4206, 0X69E4, 0X9C11, 0XAAB8, 0XD053, 0XDA46, 0XF3DE"
2026-05-18,Sensor,6,8,"ABS, HVAC, OBC, RADAR, SRS, TCU","0X30E4, 0X7F8E, 0X9E72, 0XB58E, 0XBAB9, 0XE1F1, 0XEA09, 0XFD34"
2026-05-18,Voltage,6,8,"ABS, BMS, ECM, EPS, HVAC, RADAR","0X25EA, 0X7155, 0X7218, 0X7570, 0X9418, 0XA490, 0XC50B, 0XDCD7"
2026-05-07,Communication,5,8,"ECM, EPS, GW, OBC, SRS","0X367F, 0X5884, 0X8B6F, 0X92AF, 0X9974, 0XD7FE, 0XF0E5, 0XF7F8"
2026-05-09,Voltage,5,8,"BCM, ECM, RADAR, SRS, TCU","0X232A, 0X30DE, 0X5D98, 0X603B, 0X62DA, 0X8CD0, 0XA54E, 0XF784"
2026-05-24,Performance,5,8,"BMS, FCAM, HVAC, OBC, SRS","0X3E0F, 0X91B0, 0X9F4E, 0XAA59, 0XABD7, 0XB5FC, 0XC362, 0XD37A"
2026-05-01,Sensor,4,8,"ADAS, BCM, EPS, RADAR","0X4822, 0X6C98, 0X7D0E, 0X8D45, 0X8E2A, 0XA883, 0XC303, 0XDB33"
2026-05-03,Communication,7,7,"BCM, ECM, HVAC, OBC, SRS, TCM, TCU","0X2D3A, 0X305B, 0XA4AD, 0XA8A5, 0XC0A0, 0XD3AB, 0XF14E"
2026-05-05,Sensor,7,7,"ABS, BMS, ECM, EPS, FCAM, GW, HVAC","0X4A0E, 0X4A8D, 0X5271, 0X5DA2, 0X63A3, 0X7D40, 0XC01B"
2026-05-13,Performance,7,7,"ADAS, BCM, ECM, EPS, OBC, TCM, TCU","0X3B42, 0X41C6, 0X66FD, 0X8746, 0X8D15, 0XD159, 0XD891"
2026-05-17,Sensor,7,7,"ABS, ADAS, BCM, ECM, FCAM, SRS, TCM","0X1413, 0X360B, 0X4FE6, 0X64C0, 0X7182, 0X7E0E, 0XCBF4"
2026-05-03,Sensor,6,7,"ADAS, ECM, GW, HVAC, OBC, TCU","0X4C84, 0X4D4C, 0X5FC7, 0X8706, 0XBB98, 0XE65B, 0XF5F5"
2026-05-04,Communication,6,7,"ABS, BCM, FCAM, OBC, RADAR, SRS","0X65C3, 0X8F14, 0X936F, 0X9F02, 0XA45B, 0XCB4C, 0XEA96"
2026-05-06,Communication,6,7,"ABS, BCM, EPS, OBC, RADAR, SRS","0X3C21, 0X4AD8, 0X5E9F, 0X5EFA, 0XA060, 0XA0F1, 0XCF78"
2026-05-06,ECU Specific/Other,6,7,"BCM, ECM, EPS, FCAM, GW, SRS","0X21C4, 0X3253, 0X35EE, 0X47E2, 0X62DB, 0XBC77, 0XC5D2"
2026-05-06,Voltage,6,7,"ADAS, BMS, GW, OBC, SRS, TCM","0X40B1, 0X4C7C, 0X7AFA, 0XA99F, 0XB5CB, 0XB97A, 0XFE15"
2026-05-17,Communication,6,7,"BCM, FCAM, GW, OBC, SRS, TCU","0X193C, 0X2335, 0X4A9B, 0X5C56, 0X61BE, 0X72C8, 0XD57C"
2026-05-19,Sensor,6,7,"BCM, FCAM, GW, RADAR, SRS, TCM","0X27AC, 0X2F5D, 0X5269, 0XCA1A, 0XE5BA, 0XF9FA, 0XFB4A"
2026-05-21,ECU Specific/Other,6,7,"ABS, BMS, ECM, SRS, TCM, TCU","0X360E, 0X5F32, 0X75F6, 0X8D4D, 0XCE00, 0XD903, 0XE284"
2026-05-27,Communication,6,7,"ADAS, BMS, EPS, GW, SRS, TCM","0X4CED, 0X5CC7, 0X6C5F, 0XBEE1, 0XC93C, 0XD398, 0XF47F"
2026-05-21,Performance,5,7,"ADAS, FCAM, GW, RADAR, TCU","0X1969, 0X2011, 0X3BE4, 0X4756, 0X5ED7, 0X7BFD, 0XF25D"
2026-05-23,Communication,5,7,"BMS, GW, OBC, SRS, TCU","0X39FD, 0X64EC, 0X8621, 0X8EF5, 0X950F, 0XB976, 0XF88F"
2026-05-25,Voltage,5,7,"ABS, BCM, OBC, SRS, TCU","0X5E20, 0X79B7, 0X9EF4, 0XB5A1, 0XB7AF, 0XBBF3, 0XF0C1"
2026-05-10,ECU Specific/Other,4,7,"ADAS, EPS, HVAC, TCM","0X49D8, 0X6129, 0X9BDD, 0X9DDD, 0X9DE5, 0XB76F, 0XC3AD"
2026-05-25,Communication,4,7,"ECM, EPS, GW, TCU","0X30D1, 0X3474, 0X409A, 0X47F7, 0X4B9D, 0X57DB, 0XC7ED"
2026-05-04,Performance,6,6,"ABS, ADAS, BCM, BMS, RADAR, TCU","0X19ED, 0X2042, 0X53E8, 0X613F, 0X68E7, 0X9BEF"
2026-05-10,Sensor,6,6,"ADAS, BCM, GW, OBC, TCM, TCU","0XAC96, 0XD8E6, 0XDBC4, 0XEA1D, 0XF9FE, 0XFBF6"
2026-05-10,Voltage,6,6,"BCM, BMS, ECM, GW, RADAR, SRS","0X3D36, 0X4C7E, 0X901F, 0XA647, 0XB0D4, 0XC04F"
2026-05-22,Voltage,6,6,"ADAS, ECM, GW, RADAR, TCM, TCU","0X2A8C, 0X3147, 0X45AF, 0X6B16, 0X84F6, 0XA947"
2026-05-26,Voltage,6,6,"ABS, BMS, ECM, GW, RADAR, TCM","0X52E1, 0X703E, 0XB446, 0XB9D5, 0XBFF5, 0XFCF9"
2026-05-27,Sensor,6,6,"ADAS, BMS, HVAC, SRS, TCM, TCU","0X3227, 0X4897, 0X6860, 0X7288, 0X9026, 0XD5CE"
2026-05-01,Performance,5,6,"ECM, FCAM, OBC, TCM, TCU","0X32A3, 0X5932, 0X5E0F, 0X909C, 0XAC5A, 0XBC93"
2026-05-10,Performance,5,6,"ECM, GW, OBC, RADAR, SRS","0X3BEE, 0X8497, 0X971C, 0XB970, 0XDBCB, 0XFE23"
2026-05-17,Voltage,5,6,"ABS, ADAS, BCM, EPS, GW","0X2625, 0X48C6, 0X692C, 0X7F21, 0XAA8C, 0XBFB2"
2026-05-19,Performance,5,6,"ABS, BCM, BMS, FCAM, SRS","0X49D1, 0XA6E1, 0XCADC, 0XCCCD, 0XD64C, 0XD7E2"
2026-05-23,Performance,5,6,"ABS, ADAS, BMS, ECM, RADAR","0X1A53, 0X24A0, 0X72BB, 0X764D, 0XB3FD, 0XC705"
2026-05-23,Sensor,5,6,"ADAS, BMS, HVAC, OBC, RADAR","0X5CBB, 0X9F66, 0XA248, 0XA826, 0XA9A2, 0XD5E7"
2026-05-27,Voltage,5,6,"ABS, BMS, GW, HVAC, OBC","0X13AD, 0X4239, 0X5719, 0X5741, 0XAD92, 0XC639"
2026-05-11,Voltage,4,6,"BCM, BMS, ECM, HVAC","0X5AAB, 0X6108, 0X61F5, 0X6D3D, 0XAB79, 0XB8AA"
2026-05-22,Performance,4,6,"BCM, EPS, HVAC, TCU","0X434A, 0X9015, 0XB79A, 0XBBE3, 0XC030, 0XD47F"
2026-05-07,Sensor,5,5,"ABS, BMS, FCAM, OBC, SRS","0X3FC2, 0X85DC, 0XA8D5, 0XEFAF, 0XF10B"
2026-05-19,Voltage,5,5,"ABS, ADAS, ECM, FCAM, TCU","0X171F, 0X333E, 0X5FA0, 0XB36D, 0XD342"
2026-05-08,Voltage,4,5,"ECM, GW, OBC, TCM","0X43A2, 0XA73E, 0XCC65, 0XCF04, 0XDE7A"
2026-05-16,Sensor,4,5,"BMS, ECM, SRS, TCU","0X5D17, 0X9EA0, 0XC371, 0XC61A, 0XFEF1"
