case_id,input_file,region,language,sw_i_step,template
HIST-SYN-015,knowledge/dummy_cases/txt/EU-DE/de/24-10-227/Prod_Diagnostic_Extended_SYN_015.txt,EU-DE,de,24-10-227,001
HIST-SYN-016,knowledge/dummy_cases/txt/EU-FR/fr/24-10-227/Prod_Diagnostic_Extended_SYN_016.txt,EU-FR,fr,24-10-227,002
HIST-SYN-017,knowledge/dummy_cases/txt/LATAM/es/24-10-227/Prod_Diagnostic_Extended_SYN_017.txt,LATAM,es,24-10-227,001
HIST-SYN-018,knowledge/dummy_cases/txt/BR/pt-BR/24-10-227/Prod_Diagnostic_Extended_SYN_018.txt,BR,pt-BR,24-10-227,002
HIST-SYN-019,knowledge/dummy_cases/txt/EU-IT/it/24-10-227/Prod_Diagnostic_Extended_SYN_019.txt,EU-IT,it,24-10-227,001
HIST-SYN-020,knowledge/dummy_cases/txt/EU-PL/pl/24-10-227/Prod_Diagnostic_Extended_SYN_020.txt,EU-PL,pl,24-10-227,002
HIST-SYN-021,knowledge/dummy_cases/txt/IN-HI/hi/24-10-227/Prod_Diagnostic_Extended_SYN_021.txt,IN-HI,hi,24-10-227,001
HIST-SYN-022,knowledge/dummy_cases/txt/JP/ja/24-10-227/Prod_Diagnostic_Extended_SYN_022.txt,JP,ja,24-10-227,002
HIST-SYN-023,knowledge/dummy_cases/txt/KR/ko/24-10-227/Prod_Diagnostic_Extended_SYN_023.txt,KR,ko,24-10-227,001
HIST-SYN-024,knowledge/dummy_cases/txt/CN/zh-Hans/24-10-227/Prod_Diagnostic_Extended_SYN_024.txt,CN,zh-Hans,24-10-227,002
HIST-SYN-025,knowledge/dummy_cases/txt/IN/en-IN/24-10-227/Prod_Diagnostic_Extended_SYN_025.txt,IN,en-IN,24-10-227,001
HIST-SYN-026,knowledge/dummy_cases/txt/NA/en-US/25-06-957/Prod_Diagnostic_Extended_SYN_026.txt,NA,en-US,25-06-957,002
HIST-SYN-027,knowledge/dummy_cases/txt/EU-DE/de/25-06-957/Prod_Diagnostic_Extended_SYN_027.txt,EU-DE,de,25-06-957,001
HIST-SYN-028,knowledge/dummy_cases/txt/EU-FR/fr/25-06-957/Prod_Diagnostic_Extended_SYN_028.txt,EU-FR,fr,25-06-957,002
HIST-SYN-029,knowledge/dummy_cases/txt/LATAM/es/25-06-957/Prod_Diagnostic_Extended_SYN_029.txt,LATAM,es,25-06-957,001
HIST-SYN-030,knowledge/dummy_cases/txt/BR/pt-BR/25-06-957/Prod_Diagnostic_Extended_SYN_030.txt,BR,pt-BR,25-06-957,002
HIST-SYN-031,knowledge/dummy_cases/txt/EU-IT/it/25-06-957/Prod_Diagnostic_Extended_SYN_031.txt,EU-IT,it,25-06-957,001
HIST-SYN-032,knowledge/dummy_cases/txt/EU-PL/pl/25-06-957/Prod_Diagnostic_Extended_SYN_032.txt,EU-PL,pl,25-06-957,002
HIST-SYN-033,knowledge/dummy_cases/txt/IN-HI/hi/25-06-957/Prod_Diagnostic_Extended_SYN_033.txt,IN-HI,hi,25-06-957,001
HIST-SYN-034,knowledge/dummy_cases/txt/JP/ja/25-06-957/Prod_Diagnostic_Extended_SYN_034.txt,JP,ja,25-06-957,002
HIST-SYN-035,knowledge/dummy_cases/txt/KR/ko/25-06-957/Prod_Diagnostic_Extended_SYN_035.txt,KR,ko,25-06-957,001
HIST-SYN-036,knowledge/dummy_cases/txt/CN/zh-Hans/25-06-957/Prod_Diagnostic_Extended_SYN_036.txt,CN,zh-Hans,25-06-957,002
HIST-SYN-037,knowledge/dummy_cases/txt/IN/en-IN/25-06-957/Prod_Diagnostic_Extended_SYN_037.txt,IN,en-IN,25-06-957,001
HIST-SYN-038,knowledge/dummy_cases/txt/NA/en-US/25-06-957/Prod_Diagnostic_Extended_SYN_038.txt,NA,en-US,25-06-957,002
HIST-SYN-039,knowledge/dummy_cases/txt/EU-DE/de/25-06-957/Prod_Diagnostic_Extended_SYN_039.txt,EU-DE,de,25-06-957,001
HIST-SYN-040,knowledge/dummy_cases/txt/EU-FR/fr/25-06-957/Prod_Diagnostic_Extended_SYN_040.txt,EU-FR,fr,25-06-957,002
HIST-SYN-041,knowledge/dummy_cases/txt/LATAM/es/25-06-957/Prod_Diagnostic_Extended_SYN_041.txt,LATAM,es,25-06-957,001
HIST-SYN-042,knowledge/dummy_cases/txt/BR/pt-BR/25-06-957/Prod_Diagnostic_Extended_SYN_042.txt,BR,pt-BR,25-06-957,002
HIST-SYN-043,knowledge/dummy_cases/txt/EU-IT/it/25-06-957/Prod_Diagnostic_Extended_SYN_043.txt,EU-IT,it,25-06-957,001
HIST-SYN-044,knowledge/dummy_cases/txt/EU-PL/pl/25-06-957/Prod_Diagnostic_Extended_SYN_044.txt,EU-PL,pl,25-06-957,002
HIST-SYN-045,knowledge/dummy_cases/txt/IN-HI/hi/25-06-957/Prod_Diagnostic_Extended_SYN_045.txt,IN-HI,hi,25-06-957,001
HIST-SYN-046,knowledge/dummy_cases/txt/JP/ja/25-06-957/Prod_Diagnostic_Extended_SYN_046.txt,JP,ja,25-06-957,002
HIST-SYN-047,knowledge/dummy_cases/txt/KR/ko/25-06-957/Prod_Diagnostic_Extended_SYN_047.txt,KR,ko,25-06-957,001
HIST-SYN-048,knowledge/dummy_cases/txt/CN/zh-Hans/25-06-957/Prod_Diagnostic_Extended_SYN_048.txt,CN,zh-Hans,25-06-957,002
HIST-SYN-049,knowledge/dummy_cases/txt/IN/en-IN/25-06-957/Prod_Diagnostic_Extended_SYN_049.txt,IN,en-IN,25-06-957,001
HIST-SYN-050,knowledge/dummy_cases/txt/NA/en-US/25-06-957/Prod_Diagnostic_Extended_SYN_050.txt,NA,en-US,25-06-957,002
HIST-SYN-051,knowledge/dummy_cases/txt/EU-DE/de/26-07-140/Prod_Diagnostic_Extended_SYN_051.txt,EU-DE,de,26-07-140,001
HIST-SYN-052,knowledge/dummy_cases/txt/EU-FR/fr/26-07-140/Prod_Diagnostic_Extended_SYN_052.txt,EU-FR,fr,26-07-140,002
HIST-SYN-053,knowledge/dummy_cases/txt/LATAM/es/26-07-140/Prod_Diagnostic_Extended_SYN_053.txt,LATAM,es,26-07-140,001
HIST-SYN-054,knowledge/dummy_cases/txt/BR/pt-BR/26-07-140/Prod_Diagnostic_Extended_SYN_054.txt,BR,pt-BR,26-07-140,002
HIST-SYN-055,knowledge/dummy_cases/txt/EU-IT/it/26-07-140/Prod_Diagnostic_Extended_SYN_055.txt,EU-IT,it,26-07-140,001
HIST-SYN-056,knowledge/dummy_cases/txt/EU-PL/pl/26-07-140/Prod_Diagnostic_Extended_SYN_056.txt,EU-PL,pl,26-07-140,002
HIST-SYN-057,knowledge/dummy_cases/txt/IN-HI/hi/26-07-140/Prod_Diagnostic_Extended_SYN_057.txt,IN-HI,hi,26-07-140,001
HIST-SYN-058,knowledge/dummy_cases/txt/JP/ja/26-07-140/Prod_Diagnostic_Extended_SYN_058.txt,JP,ja,26-07-140,002
HIST-SYN-059,knowledge/dummy_cases/txt/KR/ko/26-07-140/Prod_Diagnostic_Extended_SYN_059.txt,KR,ko,26-07-140,001
HIST-SYN-060,knowledge/dummy_cases/txt/CN/zh-Hans/26-07-140/Prod_Diagnostic_Extended_SYN_060.txt,CN,zh-Hans,26-07-140,002
HIST-SYN-061,knowledge/dummy_cases/txt/IN/en-IN/26-07-140/Prod_Diagnostic_Extended_SYN_061.txt,IN,en-IN,26-07-140,001
HIST-SYN-062,knowledge/dummy_cases/txt/NA/en-US/26-07-140/Prod_Diagnostic_Extended_SYN_062.txt,NA,en-US,26-07-140,002
HIST-SYN-063,knowledge/dummy_cases/txt/EU-DE/de/26-07-140/Prod_Diagnostic_Extended_SYN_063.txt,EU-DE,de,26-07-140,001
HIST-SYN-064,knowledge/dummy_cases/txt/EU-FR/fr/26-07-140/Prod_Diagnostic_Extended_SYN_064.txt,EU-FR,fr,26-07-140,002
HIST-SYN-065,knowledge/dummy_cases/txt/LATAM/es/26-07-140/Prod_Diagnostic_Extended_SYN_065.txt,LATAM,es,26-07-140,001
HIST-SYN-066,knowledge/dummy_cases/txt/BR/pt-BR/26-07-140/Prod_Diagnostic_Extended_SYN_066.txt,BR,pt-BR,26-07-140,002
HIST-SYN-067,knowledge/dummy_cases/txt/EU-IT/it/26-07-140/Prod_Diagnostic_Extended_SYN_067.txt,EU-IT,it,26-07-140,001
HIST-SYN-068,knowledge/dummy_cases/txt/EU-PL/pl/26-07-140/Prod_Diagnostic_Extended_SYN_068.txt,EU-PL,pl,26-07-140,002
HIST-SYN-069,knowledge/dummy_cases/txt/IN-HI/hi/26-07-140/Prod_Diagnostic_Extended_SYN_069.txt,IN-HI,hi,26-07-140,001
HIST-SYN-070,knowledge/dummy_cases/txt/JP/ja/26-07-140/Prod_Diagnostic_Extended_SYN_070.txt,JP,ja,26-07-140,002
HIST-SYN-071,knowledge/dummy_cases/txt/KR/ko/26-07-140/Prod_Diagnostic_Extended_SYN_071.txt,KR,ko,26-07-140,001
HIST-SYN-072,knowledge/dummy_cases/txt/CN/zh-Hans/26-07-140/Prod_Diagnostic_Extended_SYN_072.txt,CN,zh-Hans,26-07-140,002
HIST-SYN-073,knowledge/dummy_cases/txt/IN/en-IN/26-07-140/Prod_Diagnostic_Extended_SYN_073.txt,IN,en-IN,26-07-140,001
HIST-SYN-074,knowledge/dummy_cases/txt/NA/en-US/26-07-140/Prod_Diagnostic_Extended_SYN_074.txt,NA,en-US,26-07-140,002
HIST-SYN-075,knowledge/dummy_cases/txt/EU-DE/de/26-07-140/Prod_Diagnostic_Extended_SYN_075.txt,EU-DE,de,26-07-140,001
HIST-SYN-076,knowledge/dummy_cases/txt/EU-FR/fr/26-09-310/Prod_Diagnostic_Extended_SYN_076.txt,EU-FR,fr,26-09-310,002
HIST-SYN-077,knowledge/dummy_cases/txt/LATAM/es/26-09-310/Prod_Diagnostic_Extended_SYN_077.txt,LATAM,es,26-09-310,001
HIST-SYN-078,knowledge/dummy_cases/txt/BR/pt-BR/26-09-310/Prod_Diagnostic_Extended_SYN_078.txt,BR,pt-BR,26-09-310,002
HIST-SYN-079,knowledge/dummy_cases/txt/EU-IT/it/26-09-310/Prod_Diagnostic_Extended_SYN_079.txt,EU-IT,it,26-09-310,001
HIST-SYN-080,knowledge/dummy_cases/txt/EU-PL/pl/26-09-310/Prod_Diagnostic_Extended_SYN_080.txt,EU-PL,pl,26-09-310,002
HIST-SYN-081,knowledge/dummy_cases/txt/IN-HI/hi/26-09-310/Prod_Diagnostic_Extended_SYN_081.txt,IN-HI,hi,26-09-310,001
HIST-SYN-082,knowledge/dummy_cases/txt/JP/ja/26-09-310/Prod_Diagnostic_Extended_SYN_082.txt,JP,ja,26-09-310,002
HIST-SYN-083,knowledge/dummy_cases/txt/KR/ko/26-09-310/Prod_Diagnostic_Extended_SYN_083.txt,KR,ko,26-09-310,001
HIST-SYN-084,knowledge/dummy_cases/txt/CN/zh-Hans/26-09-310/Prod_Diagnostic_Extended_SYN_084.txt,CN,zh-Hans,26-09-310,002
HIST-SYN-085,knowledge/dummy_cases/txt/IN/en-IN/26-09-310/Prod_Diagnostic_Extended_SYN_085.txt,IN,en-IN,26-09-310,001
HIST-SYN-086,knowledge/dummy_cases/txt/NA/en-US/26-09-310/Prod_Diagnostic_Extended_SYN_086.txt,NA,en-US,26-09-310,002
HIST-SYN-087,knowledge/dummy_cases/txt/EU-DE/de/26-09-310/Prod_Diagnostic_Extended_SYN_087.txt,EU-DE,de,26-09-310,001
HIST-SYN-088,knowledge/dummy_cases/txt/EU-FR/fr/26-09-310/Prod_Diagnostic_Extended_SYN_088.txt,EU-FR,fr,26-09-310,002
HIST-SYN-089,knowledge/dummy_cases/txt/LATAM/es/26-09-310/Prod_Diagnostic_Extended_SYN_089.txt,LATAM,es,26-09-310,001
HIST-SYN-090,knowledge/dummy_cases/txt/BR/pt-BR/26-09-310/Prod_Diagnostic_Extended_SYN_090.txt,BR,pt-BR,26-09-310,002
HIST-SYN-091,knowledge/dummy_cases/txt/EU-IT/it/26-09-310/Prod_Diagnostic_Extended_SYN_091.txt,EU-IT,it,26-09-310,001
HIST-SYN-092,knowledge/dummy_cases/txt/EU-PL/pl/26-09-310/Prod_Diagnostic_Extended_SYN_092.txt,EU-PL,pl,26-09-310,002
HIST-SYN-093,knowledge/dummy_cases/txt/IN-HI/hi/26-09-310/Prod_Diagnostic_Extended_SYN_093.txt,IN-HI,hi,26-09-310,001
HIST-SYN-094,knowledge/dummy_cases/txt/JP/ja/26-09-310/Prod_Diagnostic_Extended_SYN_094.txt,JP,ja,26-09-310,002
HIST-SYN-095,knowledge/dummy_cases/txt/KR/ko/26-09-310/Prod_Diagnostic_Extended_SYN_095.txt,KR,ko,26-09-310,001
HIST-SYN-096,knowledge/dummy_cases/txt/CN/zh-Hans/26-09-310/Prod_Diagnostic_Extended_SYN_096.txt,CN,zh-Hans,26-09-310,002
HIST-SYN-097,knowledge/dummy_cases/txt/IN/en-IN/26-09-310/Prod_Diagnostic_Extended_SYN_097.txt,IN,en-IN,26-09-310,001
HIST-SYN-098,knowledge/dummy_cases/txt/NA/en-US/26-09-310/Prod_Diagnostic_Extended_SYN_098.txt,NA,en-US,26-09-310,002
HIST-SYN-099,knowledge/dummy_cases/txt/EU-DE/de/26-09-310/Prod_Diagnostic_Extended_SYN_099.txt,EU-DE,de,26-09-310,001
HIST-SYN-100,knowledge/dummy_cases/txt/EU-FR/fr/26-09-310/Prod_Diagnostic_Extended_SYN_100.txt,EU-FR,fr,26-09-310,002
